label_flag,rows,columns
8,1271,25
distance,speed_down_aw0,level_flag_down_aw0,level_output_down_aw0,speed_down_aw1,level_flag_down_aw1,level_output_down_aw1,speed_down_aw2,level_flag_down_aw2,level_output_down_aw2,speed_down_aw3,level_flag_down_aw3,level_output_down_aw3,speed_up_aw0,level_flag_up_aw0,level_output_up_aw0,speed_up_aw1,level_flag_up_aw1,level_output_up_aw1,speed_up_aw2,level_flag_up_aw2,level_output_up_aw2,speed_up_aw3,level_flag_up_aw3,level_output_up_aw3
2480,37.13761114,3,17,0,0,0,0,0,0,0,0,0,35.3353895,1,6,0,0,0,0,0,0,0,0,0
2500,37.08148009,3,17,0,0,0,0,0,0,0,0,0,35.35982184,1,6,0,0,0,0,0,0,0,0,0
2520,37.02516072,3,17,0,0,0,0,0,0,0,0,0,35.38425611,1,6,0,0,0,0,0,0,0,0,0
2540,36.9686518,3,17,0,0,0,0,0,0,0,0,0,35.40869233,1,6,0,0,0,0,0,0,0,0,0
2560,36.91195202,3,17,0,0,0,0,0,0,0,0,0,35.43313048,1,6,0,0,0,0,0,0,0,0,0
2580,36.85505845,3,17,0,0,0,0,0,0,0,0,0,35.45757058,1,6,0,0,0,0,0,0,0,0,0
2600,36.79796933,3,17,0,0,0,0,0,0,0,0,0,35.48201261,1,6,0,0,0,0,0,0,0,0,0
2620,36.74068336,3,17,0,0,0,0,0,0,0,0,0,35.50645658,1,6,0,0,0,0,0,0,0,0,0
2640,36.68319923,3,17,0,0,0,0,0,0,0,0,0,35.5309025,1,6,0,0,0,0,0,0,0,0,0
2660,36.48559519,3,77,0,0,0,0,0,0,0,0,0,35.39238626,1,59,0,0,0,0,0,0,0,0,0
2680,36.14318577,3,77,0,0,0,0,0,0,0,0,0,35.25257083,1,59,0,0,0,0,0,0,0,0,0
2700,35.79405855,3,77,0,0,0,0,0,0,0,0,0,35.11142529,1,59,0,0,0,0,0,0,0,0,0
2720,35.43788622,3,77,0,0,0,0,0,0,0,0,0,34.96892283,1,59,0,0,0,0,0,0,0,0,0
2740,35.0742948,3,77,0,0,0,0,0,0,0,0,0,34.82502698,1,59,0,0,0,0,0,0,0,0,0
2760,34.70288872,3,77,0,0,0,0,0,0,0,0,0,34.67970784,1,59,0,0,0,0,0,0,0,0,0
2780,34.32323077,3,77,0,0,0,0,0,0,0,0,0,34.53292787,1,59,0,0,0,0,0,0,0,0,0
2800,33.93485388,3,77,0,0,0,0,0,0,0,0,0,34.38465765,1,59,0,0,0,0,0,0,0,0,0
2820,33.53724057,3,77,0,0,0,0,0,0,0,0,0,34.23486573,1,59,0,0,0,0,0,0,0,0,0
2840,33.12982615,3,77,0,0,0,0,0,0,0,0,0,34.0835107,1,59,0,0,0,0,0,0,0,0,0
2860,32.7119823,3,77,0,0,0,0,0,0,0,0,0,33.93055192,1,59,0,0,0,0,0,0,0,0,0
2880,32.28302066,3,77,0,0,0,0,0,0,0,0,0,33.77594929,1,59,0,0,0,0,0,0,0,0,0
2900,31.84216861,3,77,0,0,0,0,0,0,0,0,0,33.61966675,1,59,0,0,0,0,0,0,0,0,0
2920,31.38857219,3,77,0,0,0,0,0,0,0,0,0,33.4616589,1,59,0,0,0,0,0,0,0,0,0
2940,30.92128191,3,77,0,0,0,0,0,0,0,0,0,33.30188595,1,59,0,0,0,0,0,0,0,0,0
2960,30.43920773,3,77,0,0,0,0,0,0,0,0,0,33.14029614,1,59,0,0,0,0,0,0,0,0,0
2980,29.94113875,3,77,0,0,0,0,0,0,0,0,0,32.97684177,1,59,0,0,0,0,0,0,0,0,0
3000,29.42569527,3,77,0,0,0,0,0,0,0,0,0,32.81147264,1,59,0,0,0,0,0,0,0,0,0
3020,28.89128006,3,77,0,0,0,0,0,0,0,0,0,32.64413118,1,59,0,0,0,0,0,0,0,0,0
